Date;Open;High;Low;Close;Volume;Adj Close;Y_t
4-1-2002;1165.27002;1176.55005;1163.42004;1172.51001;1513000000;1172.51001;0.2832
3-1-2002;1154.67004;1165.27002;1154.01001;1165.27002;1398900000;1165.27002;-0.2690
2-1-2002;1148.07996;1154.67004;1136.22998;1154.67004;1171000000;1154.67004;-0.3969
31-12-2001;1161.02002;1161.16003;1148.04004;1148.07996;943600000;1148.07996;-0.2486
28-12-2001;1157.13;1164.64001;1157.13;1161.02002;917400000;1161.02002;0.4868
27-12-2001;1149.37;1157.13;1149.37;1157.13;876300000;1157.13;-0.1458
26-12-2001;1144.65002;1159.18005;1144.65002;1149.37;791100000;1149.37;-0.2922
24-12-2001;1144.89001;1147.82996;1144.62;1144.65002;439670000;1144.65002;-0.1787
21-12-2001;1139.93005;1147.45996;1139.93005;1144.89001;1694000000;1144.89001;0.0091
20-12-2001;1149.56006;1151.42004;1139.93005;1139.93005;1490500000;1139.93005;-0.1886
19-12-2001;1142.92004;1152.43994;1134.75;1149.56006;1484900000;1149.56006;0.3653
18-12-2001;1134.35999;1145.09998;1134.35999;1142.92004;1354000000;1142.92004;-0.2516
17-12-2001;1123.08997;1137.30005;1122.66003;1134.35999;1260400000;1134.35999;-0.3265
14-12-2001;1119.38;1128.28003;1114.53003;1123.08997;1306800000;1123.08997;-0.4336
13-12-2001;1137.06995;1137.06995;1117.84998;1119.38;1511500000;1119.38;-0.1437
12-12-2001;1136.76001;1141.57996;1126.01001;1137.06995;1449700000;1137.06995;0.6810
11-12-2001;1139.93005;1150.89001;1134.31995;1136.76001;1367200000;1136.76001;-0.0118
10-12-2001;1158.31006;1158.31006;1139.66003;1139.93005;1218700000;1139.93005;0.1209
7-12-2001;1167.09998;1167.09998;1152.66003;1158.31006;1248200000;1158.31006;0.6947
6-12-2001;1170.34998;1173.34998;1164.43005;1167.09998;1487900000;1167.09998;0.3283
5-12-2001;1143.77002;1173.62;1143.77002;1170.34998;1765300000;1170.34998;0.1208
4-12-2001;1129.90002;1144.80005;1128.85999;1144.80005;1318500000;1144.80005;-0.9586
3-12-2001;1139.44995;1139.44995;1125.78003;1129.90002;1202900000;1129.90002;-0.5690
30-11-2001;1140.19995;1143.56995;1135.89001;1139.44995;1343600000;1139.44995;0.3655
29-11-2001;1128.52002;1140.40002;1125.51001;1140.19995;1375700000;1140.19995;0.0286
28-11-2001;1149.5;1149.5;1128.29004;1128.52002;1423700000;1128.52002;-0.4472
27-11-2001;1157.42004;1163.38;1140.81006;1149.5;1288000000;1149.5;0.8000
26-11-2001;1150.33997;1157.88;1146.17004;1157.42004;1129800000;1157.42004;0.2982
23-11-2001;1137.03003;1151.05005;1135.90002;1150.33997;410300000;1150.33997;-0.2665
21-11-2001;1142.66003;1142.66003;1129.78003;1137.03003;1029300000;1137.03003;-0.5054
20-11-2001;1151.06006;1152.44995;1142.17004;1142.66003;1330200000;1142.66003;0.2145
19-11-2001;1138.65002;1151.06006;1138.65002;1151.06006;1316800000;1151.06006;0.3181
16-11-2001;1142.23999;1143.52002;1129.92004;1138.65002;1337400000;1138.65002;-0.4708
15-11-2001;1141.20996;1146.45996;1135.06006;1142.23999;1454500000;1142.23999;0.1367
14-11-2001;1139.08997;1148.28003;1132.87;1141.20996;1443400000;1141.20996;-0.0392
13-11-2001;1118.32996;1139.14001;1118.32996;1139.08997;1370100000;1139.08997;-0.0808
12-11-2001;1120.31006;1121.70996;1098.31995;1118.32996;991600000;1118.32996;-0.7988
9-11-2001;1118.54004;1123.02002;1111.13;1120.31006;1093800000;1120.31006;0.0768
8-11-2001;1115.80005;1135.75;1115.42004;1118.54004;1517500000;1118.54004;-0.0687
7-11-2001;1118.85999;1126.62;1112.97998;1115.80005;1411300000;1115.80005;-0.1065
6-11-2001;1102.83997;1119.72998;1095.35999;1118.85999;1356000000;1118.85999;0.1189
